"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","fiscal_position_ids","original_tax_ids"
"tax_reagyp_s_12","","True","REAGYP compensation 12%","12% REAGYP","sale","12% REAGYP","12% REAGYP","Compensación REAGYP 12%","Compensació REAGYP 12%","12.0","percent","tax_group_reagyp","","ignore","","","","True","base","","invoice","","","12% REAGYP","","","",""
"","","","","","","","","","","","","","","","","","","","tax","","invoice","account_reagyp_compensation","","","","","",""
"","","","","","","","","","","","","","","","","","","","base","","refund","","","","","","",""
"","","","","","","","","","","","","","","","","","","","tax","","refund","account_reagyp_compensation","","","","","",""
"tax_reagyp_s_105","","True","REAGYP compensation 10.5%","10,5% REAGYP","sale","10,5% REAGYP","10,5% REAGYP","Compensación REAGYP 10,5%","Compensació REAGYP 10,5%","10.5","percent","tax_group_reagyp","","ignore","","","","True","base","","invoice","","","10,5% REAGYP","","","",""
"","","","","","","","","","","","","","","","","","","","tax","","invoice","account_reagyp_compensation","","","","","",""
"","","","","","","","","","","","","","","","","","","","base","","refund","","","","","","",""
"","","","","","","","","","","","","","","","","","","","tax","","refund","account_reagyp_compensation","","","","","",""
"tax_reagyp_s_ns","","True","REAGYP sale (not subject)","No sujeto REAGYP","sale","No sujeto REAGYP","No sujeto REAGYP","Venta REAGYP no sujeta","Venda REAGYP no subjecta","0.0","percent","tax_group_reagyp","","ignore","","","","","base","","invoice","","","No sujeto REAGYP","","","",""
"","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","",""
"","","","","","","","","","","","","","","","","","","","base","","refund","","","","","","",""
"","","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","",""
"tax_reagyp_s_12_irpf2","","True","REAGYP compensation 12% with 2% withholding","12% REAGYP + 2% ret.","sale","12% REAGYP + 2% WHI","12% REAGYP + 2% Ret IRPF","Compensación REAGYP 12% con retención IRPF 2%","Compensació REAGYP 12% amb retenció IRPF 2%","","group","tax_group_reagyp","","ignore","","","","","","","","","","12% REAGYP + 2% ret.","tax_reagyp_s_12,account_tax_template_s_irpf2","","fp_reagyp_sale","tax_reagyp_s_ns"
